PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31004889","Effects of catchment area and nutrient deposition regime on phytoplankton functionality in alpine lakes","Jacquemin C, Bertrand C, Franquet E, Mounier S, Misson B, Oursel B, Cavalli L.","Sci Total Environ. 2019 Jul 15;674:114-127. doi: 10.1016/j.scitotenv.2019.04.117. Epub 2019 Apr 11.","Jacquemin C","Sci Total Environ","2019","2019/04/21","","","10.1016/j.scitotenv.2019.04.117"
"30644392","The structured backbone of temporal social ties","Kobayashi T, Takaguchi T, Barrat A.","Nat Commun. 2019 Jan 15;10(1):220. doi: 10.1038/s41467-018-08160-3.","Kobayashi T","Nat Commun","2019","2019/01/16","PMC6333776","","10.1038/s41467-018-08160-3"
"30912280","Physiological stress markers during breath-hold diving and SCUBA diving","Marlinge M, Coulange M, Fitzpatrick RC, Delacroix R, Gabarre A, Lainé N, Cautela J, Louge P, Boussuges A, Rostain JC, Guieu R, Joulia FC.","Physiol Rep. 2019 Mar;7(6):e14033. doi: 10.14814/phy2.14033.","Marlinge M","Physiol Rep","2019","2019/03/27","PMC6434169","","10.14814/phy2.14033"
"30843243","Towards eco-friendly biocides: preparation, antibiofilm activity of hemibastadin analogues","Kacou A, Ouvrard A, Jamet D, Jamet JL, Blache Y.","Lett Appl Microbiol. 2019 Apr;68(4):360-368. doi: 10.1111/lam.13150.","Kacou A","Lett Appl Microbiol","2019","2019/03/08","","","10.1111/lam.13150"
"30845243","Testing the ego-depletion effect in optimized conditions","Radel R, Gruet M, Barzykowski K.","PLoS One. 2019 Mar 7;14(3):e0213026. doi: 10.1371/journal.pone.0213026. eCollection 2019.","Radel R","PLoS One","2019","2019/03/08","PMC6405119","","10.1371/journal.pone.0213026"
"31780703","Ecological networks: Pursuing the shortest path, however narrow and crooked","Costa A, Martín González AM, Guizien K, Doglioli AM, Gómez JM, Petrenko AA, Allesina S.","Sci Rep. 2019 Nov 28;9(1):17826. doi: 10.1038/s41598-019-54206-x.","Costa A","Sci Rep","2019","2019/11/30","PMC6883044","","10.1038/s41598-019-54206-x"
"31249389","Bleaching forces coral's heterotrophy on diazotrophs and Synechococcus","Meunier V, Bonnet S, Pernice M, Benavides M, Lorrain A, Grosso O, Lambert C, Houlbrèque F.","ISME J. 2019 Nov;13(11):2882-2886. doi: 10.1038/s41396-019-0456-2. Epub 2019 Jun 27.","Meunier V","ISME J","2019","2019/06/29","PMC6794269","","10.1038/s41396-019-0456-2"
"31716023","Advances on the phylogenetic placement of the enigmatic octocoral Dendrobrachia Brook 1889","Aurelle D, Pante E, Ledoux JB, Sartoretto S.","Zootaxa. 2019 Sep 23;4674(1):zootaxa.4674.1.6. doi: 10.11646/zootaxa.4674.1.6.","Aurelle D","Zootaxa","2019","2019/11/14","","","10.11646/zootaxa.4674.1.6"
"33267180","Where Was Past Low-Entropy?","Rovelli C.","Entropy (Basel). 2019 May 4;21(5):466. doi: 10.3390/e21050466.","Rovelli C","Entropy (Basel)","2019","2020/12/03","PMC7514955","","10.3390/e21050466"
"31024462","Pressure-Retaining Sampler and High-Pressure Systems to Study Deep-Sea Microbes Under in situ Conditions","Garel M, Bonin P, Martini S, Guasco S, Roumagnac M, Bhairy N, Armougom F, Tamburini C.","Front Microbiol. 2019 Apr 9;10:453. doi: 10.3389/fmicb.2019.00453. eCollection 2019.","Garel M","Front Microbiol","2019","2019/04/27","PMC6465632","","10.3389/fmicb.2019.00453"
"30734321","Influence of cognitive load on the dynamics of neurophysiological adjustments during fatiguing exercise","Chatain C, Radel R, Vercruyssen F, Rabahi T, Vallier JM, Bernard T, Gruet M.","Psychophysiology. 2019 Jun;56(6):e13343. doi: 10.1111/psyp.13343. Epub 2019 Feb 7.","Chatain C","Psychophysiology","2019","2019/02/09","","","10.1111/psyp.13343"
"31608016","Shear Stress as a Major Driver of Marine Biofilm Communities in the NW Mediterranean Sea","Catão ECP, Pollet T, Misson B, Garnier C, Ghiglione JF, Barry-Martinet R, Maintenay M, Bressy C, Briand JF.","Front Microbiol. 2019 Jul 31;10:1768. doi: 10.3389/fmicb.2019.01768. eCollection 2019.","Catão ECP","Front Microbiol","2019","2019/10/15","PMC6774042","","10.3389/fmicb.2019.01768"
"30894489","A minimal-length approach unifies rigidity in underconstrained materials","Merkel M, Baumgarten K, Tighe BP, Manning ML.","Proc Natl Acad Sci U S A. 2019 Apr 2;116(14):6560-6568. doi: 10.1073/pnas.1815436116. Epub 2019 Mar 20.","Merkel M","Proc Natl Acad Sci U S A","2019","2019/03/22","PMC6452732","","10.1073/pnas.1815436116"
"31001208","A Novel Highly Efficient Device for Growing Micro-Aerophilic Microorganisms","Fuduche M, Davidson S, Boileau C, Wu LF, Combet-Blanc Y.","Front Microbiol. 2019 Mar 19;10:534. doi: 10.3389/fmicb.2019.00534. eCollection 2019.","Fuduche M","Front Microbiol","2019","2019/04/20","PMC6434946","","10.3389/fmicb.2019.00534"
"31726431","Light-induced high-spin state in ZnO nanoparticles","Savoyant A, Rollo M, Texier M, Adam RE, Bernardini S, Pilone O, Margeat O, Nur O, Willander M, Bertaina S.","Nanotechnology. 2020 Feb 21;31(9):095707. doi: 10.1088/1361-6528/ab57f1. Epub 2019 Nov 14.","Savoyant A","Nanotechnology","2020","2019/11/15","","","10.1088/1361-6528/ab57f1"
"31789158","Biological invasion: Long term monitoring of the macroalgal flora of a major European harbor complex","Verlaque M, Breton G.","Mar Pollut Bull. 2019 Jun;143:228-241. doi: 10.1016/j.marpolbul.2019.04.038. Epub 2019 Apr 29.","Verlaque M","Mar Pollut Bull","2019","2019/12/03","","","10.1016/j.marpolbul.2019.04.038"
"31276878","Seasonal changes of chemical contamination in coastal waters during sediment resuspension","Bancon-Montigny C, Gonzalez C, Delpoux S, Avenzac M, Spinelli S, Mhadhbi T, Mejri K, Hlaili AS, Pringault O.","Chemosphere. 2019 Nov;235:651-661. doi: 10.1016/j.chemosphere.2019.06.213. Epub 2019 Jun 28.","Bancon-Montigny C","Chemosphere","2019","2019/07/06","","","10.1016/j.chemosphere.2019.06.213"
"30663300","Large-Size Single-Crystal Oligothiophene-Based Monolayers for Field-Effect Transistors","Bruevich VV, Glushkova AV, Poimanova OY, Fedorenko RS, Luponosov YN, Bakirov AV, Shcherbina MA, Chvalun SN, Sosorev AY, Grodd L, Grigorian S, Ponomarenko SA, Paraschuk DY.","ACS Appl Mater Interfaces. 2019 Feb 13;11(6):6315-6324. doi: 10.1021/acsami.8b20700. Epub 2019 Feb 4.","Bruevich VV","ACS Appl Mater Interfaces","2019","2019/01/22","","","10.1021/acsami.8b20700"
"31283275","Dark Energy from Quantum Gravity Discreteness","Perez A, Sudarsky D.","Phys Rev Lett. 2019 Jun 7;122(22):221302. doi: 10.1103/PhysRevLett.122.221302.","Perez A","Phys Rev Lett","2019","2019/07/09","","","10.1103/PhysRevLett.122.221302"
"31104232","Assessment of individual and mixed toxicity of bromoform, tribromoacetic-acid and 2,4,6 tribromophenol, on the embryo-larval development of Paracentrotus lividus sea urchin","Lebaron K, Mechiri L, Richard S, Austruy A, Boudenne JL, Coupé S.","Environ Sci Pollut Res Int. 2019 Jul;26(20):20573-20580. doi: 10.1007/s11356-019-05279-8. Epub 2019 May 18.","Lebaron K","Environ Sci Pollut Res Int","2019","2019/05/20","","","10.1007/s11356-019-05279-8"
"31882755","Assessment of congruence between co-occurrence and functional networks: A new framework for revealing community assembly rules","Legras G, Loiseau N, Gaertner JC, Poggiale JC, Ienco D, Mazouni N, Mérigot B.","Sci Rep. 2019 Dec 27;9(1):19996. doi: 10.1038/s41598-019-56515-7.","Legras G","Sci Rep","2019","2019/12/29","PMC6934466","","10.1038/s41598-019-56515-7"
"30780340","Anomalous one-dimensional fluctuations of a simple two-dimensional random walk in a large-deviation regime","Nechaev S, Polovnikov K, Shlosman S, Valov A, Vladimirov A.","Phys Rev E. 2019 Jan;99(1-1):012110. doi: 10.1103/PhysRevE.99.012110.","Nechaev S","Phys Rev E","2019","2019/02/21","","","10.1103/PhysRevE.99.012110"
"31640887","Patterns of invasive ctenophore Mnemiopsis leidyi distribution and variability in different recipient environments of the Eurasian seas: A review","Shiganova TA, Sommer U, Javidpour J, Molinero JC, Malej A, Kazmin AS, Isinibilir M, Christou E, Siokou-Frangou I, Marambio M, Fuentes V, Mirsoyan ZA, Gülsahin N, Lombard F, Lilley MKS, Angel DL, Galil BS, Bonnet D, Delpy F.","Mar Environ Res. 2019 Dec;152:104791. doi: 10.1016/j.marenvres.2019.104791. Epub 2019 Oct 2.","Shiganova TA","Mar Environ Res","2019","2019/10/24","","","10.1016/j.marenvres.2019.104791"
"31783454","Modeling the quenching of fluorescence from organic matter in Amazonian soils","Tadini AM, Mounier S, Milori DMBP.","Sci Total Environ. 2020 Jan 1;698:134067. doi: 10.1016/j.scitotenv.2019.134067. Epub 2019 Aug 28.","Tadini AM","Sci Total Environ","2020","2019/12/01","","","10.1016/j.scitotenv.2019.134067"
"31396102","Demonstration by Infra-Red Imaging of a Temperature Control Defect in a Decompression Sickness Model Testing Minocycline","Desruelle AV, Louge P, Richard S, Blatteau JE, Gaillard S, De Maistre S, David H, Risso JJ, Vallée N.","Front Physiol. 2019 Jul 24;10:933. doi: 10.3389/fphys.2019.00933. eCollection 2019.","Desruelle AV","Front Physiol","2019","2019/08/10","PMC6668502","","10.3389/fphys.2019.00933"
"31176973","Amino acids promote black carbon aggregation and microbial colonization in coastal waters off Vietnam","Benavides M, Chu Van T, Mari X.","Sci Total Environ. 2019 Oct 1;685:527-532. doi: 10.1016/j.scitotenv.2019.05.141. Epub 2019 May 13.","Benavides M","Sci Total Environ","2019","2019/06/10","","","10.1016/j.scitotenv.2019.05.141"
"30814623","Quantum walk hydrodynamics","Hatifi M, Di Molfetta G, Debbasch F, Brachet M.","Sci Rep. 2019 Feb 27;9(1):2989. doi: 10.1038/s41598-019-40059-x.","Hatifi M","Sci Rep","2019","2019/03/01","PMC6393481","","10.1038/s41598-019-40059-x"
"30641395","Occurrence, distribution and ecological risk of trace metals and organic pollutants in surface sediments from a Southeastern European river (Someşu Mic River, Romania)","Barhoumi B, Beldean-Galea MS, Al-Rawabdeh AM, Roba C, Martonos IM, Bălc R, Kahlaoui M, Touil S, Tedetti M, Driss MR, Baciu C.","Sci Total Environ. 2019 Apr 10;660:660-676. doi: 10.1016/j.scitotenv.2018.12.428. Epub 2019 Jan 3.","Barhoumi B","Sci Total Environ","2019","2019/01/15","","","10.1016/j.scitotenv.2018.12.428"
"31730850","Gene Expression Changes and Community Turnover Differentially Shape the Global Ocean Metatranscriptome","Salazar G, Paoli L, Alberti A, Huerta-Cepas J, Ruscheweyh HJ, Cuenca M, Field CM, Coelho LP, Cruaud C, Engelen S, Gregory AC, Labadie K, Marec C, Pelletier E, Royo-Llonch M, Roux S, Sánchez P, Uehara H, Zayed AA, Zeller G, Carmichael M, Dimier C, Ferland J, Kandels S, Picheral M, Pisarev S, Poulain J; Tara Oceans Coordinators, Acinas SG, Babin M, Bork P, Bowler C, de Vargas C, Guidi L, Hingamp P, Iudicone D, Karp-Boss L, Karsenti E, Ogata H, Pesant S, Speich S, Sullivan MB, Wincker P, Sunagawa S.","Cell. 2019 Nov 14;179(5):1068-1083.e21. doi: 10.1016/j.cell.2019.10.014.","Salazar G","Cell","2019","2019/11/16","PMC6912165","","10.1016/j.cell.2019.10.014"
"31430843","Patterns of trace metal bioaccumulation and trophic transfer in a phytoplankton-zooplankton-small pelagic fish marine food web","Chouvelon T, Strady E, Harmelin-Vivien M, Radakovitch O, Brach-Papa C, Crochet S, Knoery J, Rozuel E, Thomas B, Tronczynski J, Chiffoleau JF.","Mar Pollut Bull. 2019 Sep;146:1013-1030. doi: 10.1016/j.marpolbul.2019.07.047. Epub 2019 Aug 16.","Chouvelon T","Mar Pollut Bull","2019","2019/08/22","","","10.1016/j.marpolbul.2019.07.047"
"31741007","The Marine Bacterium Shewanella woodyi Produces C(8)-HSL to Regulate Bioluminescence","Hayek M, Baraquet C, Lami R, Blache Y, Molmeret M.","Microb Ecol. 2020 May;79(4):865-881. doi: 10.1007/s00248-019-01454-z. Epub 2019 Nov 18.","Hayek M","Microb Ecol","2020","2019/11/20","","","10.1007/s00248-019-01454-z"
"30945796","Temporal covariation of epibacterial community and surface metabolome in the Mediterranean seaweed holobiont Taonia atomaria","Paix B, Othmani A, Debroas D, Culioli G, Briand JF.","Environ Microbiol. 2019 Apr 4. doi: 10.1111/1462-2920.14617. Online ahead of print.","Paix B","Environ Microbiol","2019","2019/04/05","","","10.1111/1462-2920.14617"
"31874865","Stress management in obesity during a thermal spa residential programme (ObesiStress): protocol for a randomised controlled trial study","Dutheil F, Chaplais E, Vilmant A, Courteix D, Duche P, Abergel A, Pfabigan DM, Han S, Mobdillon L, Vallet GT, Mermillod M, Boudet G, Obert P, Izem O, Miolanne-Debouit M, Farigon N, Pereira B, Boirie Y.","BMJ Open. 2019 Dec 23;9(12):e027058. doi: 10.1136/bmjopen-2018-027058.","Dutheil F","BMJ Open","2019","2019/12/26","PMC7008425","","10.1136/bmjopen-2018-027058"
"31034693","Dissecting the membrane lipid binding properties and lipase activity of Mycobacterium tuberculosis LipY domains","Santucci P, Smichi N, Diomandé S, Poncin I, Point V, Gaussier H, Cavalier JF, Kremer L, Canaan S.","FEBS J. 2019 Aug;286(16):3164-3181. doi: 10.1111/febs.14864. Epub 2019 May 16.","Santucci P","FEBS J","2019","2019/04/30","","","10.1111/febs.14864"
"31807900","Muscle alterations induced by electrostimulation are lower at short quadriceps femoris length","Fouré A, Ogier AC, Guye M, Gondin J, Bendahan D.","Eur J Appl Physiol. 2020 Feb;120(2):325-335. doi: 10.1007/s00421-019-04277-5. Epub 2019 Dec 5.","Fouré A","Eur J Appl Physiol","2020","2019/12/07","","","10.1007/s00421-019-04277-5"
"31254276","Spatial difference can occur between activated and damaged muscle areas following electrically-induced isometric contractions","Fouré A, Le Troter A, Ogier AC, Guye M, Gondin J, Bendahan D.","J Physiol. 2019 Aug;597(16):4227-4236. doi: 10.1113/JP278205. Epub 2019 Jul 17.","Fouré A","J Physiol","2019","2019/06/30","","","10.1113/JP278205"
"31118902","Impaired Muscular Fat Metabolism in Juvenile Idiopathic Arthritis in Inactive Disease","Rochette E, Bourdier P, Pereira B, Echaubard S, Borderon C, Caron N, Chausset A, Courteix D, Fel S, Kanold J, Paysal J, Ratel S, Rouel N, Sarret C, Terral D, Usclade A, Merlin E, Duché P.","Front Physiol. 2019 May 1;10:528. doi: 10.3389/fphys.2019.00528. eCollection 2019.","Rochette E","Front Physiol","2019","2019/05/24","PMC6506786","","10.3389/fphys.2019.00528"
"30960289","Hydrolyzable Additive-Based Silicone Elastomers: A New Approach for Antifouling Coatings","Gevaux L, Lejars M, Margaillan A, Briand JF, Bunet R, Bressy C.","Polymers (Basel). 2019 Feb 12;11(2):305. doi: 10.3390/polym11020305.","Gevaux L","Polymers (Basel)","2019","2019/04/10","PMC6419558","","10.3390/polym11020305"
"31787275","Tracing source and mobility of arsenic and trace elements in a hydrosystem impacted by past mining activities (Morelos state, Mexico)","Barats A, Renac C, Orani AM, Durrieu G, Saint Martin H, Esteller MV, Garrido Hoyos SE.","Sci Total Environ. 2020 Apr 10;712:135565. doi: 10.1016/j.scitotenv.2019.135565. Epub 2019 Nov 18.","Barats A","Sci Total Environ","2020","2019/12/03","","","10.1016/j.scitotenv.2019.135565"
"30479129","Phthalate Release from Plastic Fragments and Degradation in Seawater","Paluselli A, Fauvelle V, Galgani F, Sempéré R.","Environ Sci Technol. 2019 Jan 2;53(1):166-175. doi: 10.1021/acs.est.8b05083. Epub 2018 Dec 10.","Paluselli A","Environ Sci Technol","2019","2018/11/28","","","10.1021/acs.est.8b05083"
"31029060","Physical activity and sedentary levels in children with juvenile idiopathic arthritis and inflammatory bowel disease. A systematic review and meta-analysis","Bourdier P, Saidi O, Rochette E, Ratel S, Merlin E, Pereira B, Duché P.","Pediatr Res. 2019 Aug;86(2):149-156. doi: 10.1038/s41390-019-0409-5. Epub 2019 Apr 27.","Bourdier P","Pediatr Res","2019","2019/04/28","","","10.1038/s41390-019-0409-5"
