doi,oa_type,is_oa,title,published_date,published_year,genre,journal_is_in_doaj,journal_issns,journal_name,publisher,repositories,scientific_field
10.1088/0268-1242/31/11/114003,closed,False,Real-time soft error rate measurements on bulk 40 nm SRAM memories: a five-year dual-site experiment,2016-10-13,2016.0,journal-article,False,"0268-1242,1361-6641",Semiconductor Science and Technology,IOP Publishing,,"Physical sciences, Astronomy"
10.1016/j.spa.2016.05.001,publisher;repository,True,Rare events for the Manneville–Pomeau map,2016-11-01,2016.0,journal-article,False,0304-4149,Stochastic Processes and their Applications,Elsevier BV,HAL;arxiv.org;repositorio-aberto.up.pt;research-repository.st-andrews.ac.uk,Mathematics
10.1016/j.compositesa.2016.08.018,closed,False,The role of epoxy matrix occlusions within BaTiO 3 nanoparticles on the dielectric properties of functionalized BaTiO 3 /epoxy nanocomposites,2016-11-01,2016.0,journal-article,False,1359-835X,Composites Part A: Applied Science and Manufacturing,Elsevier BV,,Chemistry
10.1007/s10750-015-2333-y,closed,False,"The necromass of the Posidonia oceanica seagrass meadow: fate, role, ecosystem services and vulnerability",2015-06-17,2015.0,journal-article,False,"0018-8158,1573-5117",Hydrobiologia,Springer Science and Business Media LLC,,Biology (fond.)
10.1007/s10236-016-0985-4,closed,False,Assessment of the coastal dynamics in a nested zoom and feedback on the boundary current: the North-Western Mediterranean Sea case,2016-09-19,2016.0,journal-article,False,"1616-7341,1616-7228",Ocean Dynamics,Springer Science and Business Media LLC,,"Earth, Ecology, 
Energy and applied biology"
10.1109/jstars.2016.2533662,repository,True,Geostationary Image Simulation on Coastal Waters Using Hydrodynamic Biogeochemical and Sedimentary Coupled Models,2016-11-01,2016.0,journal-article,False,"1939-1404,2151-1535",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Institute of Electrical and Electronics Engineers (IEEE),archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1002/2016jc011857,repository,True,Observations of open-ocean deep convection in the northwestern Mediterranean Sea: Seasonal and interannual variability of mixing and deep water masses for the 2007-2013 Period,2016-11-01,2016.0,journal-article,False,2169-9275,Journal of Geophysical Research: Oceans,American Geophysical Union (AGU),HAL;archimer.ifremer.fr;nora.nerc.ac.uk,"Earth, Ecology, 
Energy and applied biology"
10.1107/s1600577516013849,closed,False,KB scanning of X-ray beam for Laue microdiffraction on accelero-phobic samples: application toin situmechanically loaded nanowires,2016-10-07,2016.0,journal-article,False,1600-5775,Journal of Synchrotron Radiation,International Union of Crystallography (IUCr),,"Physical sciences, Astronomy"
10.1016/j.tsf.2016.08.053,repository,True,p -Type PdO nanoparticles supported on n -type WO 3 nanoneedles for hydrogen sensing,2016-11-01,2016.0,journal-article,False,0040-6090,Thin Solid Films,Elsevier BV,discovery.ucl.ac.uk,"Physical sciences, Astronomy"
10.1016/j.sigpro.2016.05.013,closed,False,New Jacobi-like algorithms for non-orthogonal joint diagonalization of Hermitian matrices,2016-11-01,2016.0,journal-article,False,0165-1684,Signal Processing,Elsevier BV,,Mathematics
10.1016/j.tsf.2016.02.020,closed,False,Stress buildup during crystallization of thin chalcogenide films for memory applications: In situ combination of synchrotron X-Ray diffraction and wafer curvature measurements,2016-10-01,2016.0,journal-article,False,0040-6090,Thin Solid Films,Elsevier BV,,"Physical sciences, Astronomy"
10.1016/j.tsf.2016.04.039,closed,False,X-ray nanodiffraction in forward scattering and Bragg geometry of a single isolated Ag–Au nanowire,2016-10-01,2016.0,journal-article,False,0040-6090,Thin Solid Films,Elsevier BV,,"Physical sciences, Astronomy"
10.1103/physrevd.94.084035,publisher;repository,True,Planck star tunneling time: An astrophysically relevant observable from background-free quantum gravity,2016-10-21,2016.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),arxiv.org,"Physical sciences, Astronomy"
10.1016/j.compstruct.2016.07.020,closed,False,Validation of a Representative Volume Element for unidirectional fiber-reinforced composites: Case of a monotonic traction in its cross section,2016-10-01,2016.0,journal-article,False,0263-8223,Composite Structures,Elsevier BV,,"Physical sciences, Astronomy"
10.1016/j.physletb.2016.07.079,publisher;repository,True,Threshold enhancement of diphoton resonances,2016-10-01,2016.0,journal-article,True,0370-2693,Physics Letters B,Elsevier BV,arxiv.org;cds.cern.ch,"Physical sciences, Astronomy"
10.1016/j.physletb.2016.08.041,publisher;repository,True,Duality and helicity: A symplectic viewpoint,2016-10-01,2016.0,journal-article,True,0370-2693,Physics Letters B,Elsevier BV,arxiv.org,"Physical sciences, Astronomy"
10.1021/acsami.6b06414,publisher;repository,True,Flexible Photodiodes Based on Nitride Core/Shell p–n Junction Nanowires,2016-09-23,2016.0,journal-article,False,"1944-8244,1944-8252",ACS Applied Materials & Interfaces,American Chemical Society (ACS),HAL;europepmc.org;www.ncbi.nlm.nih.gov,Engineering
10.1103/physreve.94.042101,repository,True,"Out-of-equilibrium stationary states, percolation, and subcritical instabilities in a fully nonconservative system",2016-10-03,2016.0,journal-article,False,"2470-0045,2470-0053",Physical Review E,American Physical Society (APS),HAL;arxiv.org,"Physical sciences, Astronomy"
10.1007/s00357-016-9212-8,repository,True,Piecewise Regression Mixture for Simultaneous Functional Data Clustering and Optimal Segmentation,2016-10-01,2016.0,journal-article,False,"0176-4268,1432-1343",Journal of Classification,Springer Science and Business Media LLC,arxiv.org,Mathematics
10.1007/s00227-016-2975-y,closed,False,"Localization of endobacteria in the gastrodermis of a Mediterranean gorgonian coral, Paramuricea clavata, using fluorescence in situ hybridization",2016-09-13,2016.0,journal-article,False,"0025-3162,1432-1793",Marine Biology,Springer Science and Business Media LLC,,Biology (fond.)
10.1002/2016jc011908,publisher;repository,True,Diagnosing cross-shelf transport along an ocean front: An observational case study in the Gulf of Lion,2016-10-01,2016.0,journal-article,False,2169-9275,Journal of Geophysical Research: Oceans,American Geophysical Union (AGU),plymsea.ac.uk,"Earth, Ecology, 
Energy and applied biology"
10.1002/2016jc011861,repository,True,Impacts of mesoscale activity on the water masses and circulation in the Coral Sea,2016-10-01,2016.0,journal-article,False,2169-9275,Journal of Geophysical Research: Oceans,American Geophysical Union (AGU),archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1111/1467-8268.12200,closed,False,Child Labour and Schooling in South Sudan and Sudan: Is There a Gender Preference?,2016-10-01,2016.0,journal-article,False,1017-6772,African Development Review,Wiley,,Social sciences
10.1007/s12346-015-0160-1,repository,True,Canards Existence in Memristor’s Circuits,2015-09-10,2015.0,journal-article,False,"1575-5460,1662-3592",Qualitative Theory of Dynamical Systems,Springer Science and Business Media LLC,HAL;arxiv.org;ddd.uab.cat,Engineering
10.1016/j.dsr.2016.07.014,closed,False,Bacteria as part of bioluminescence emission at the deep ANTARES station (North-Western Mediterranean Sea) during a one-year survey,2016-10-01,2016.0,journal-article,False,0967-0637,Deep Sea Research Part I: Oceanographic Research Papers,Elsevier BV,,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.margen.2016.06.006,closed,False,Metatranscriptomes of oil-contaminated marine coastal sediment affected by oil addition and/or by the bioturbating activity of the marine polychaete Hediste diversicolor: Who are the microbial players?,2016-10-01,2016.0,journal-article,False,1874-7787,Marine Genomics,Elsevier BV,,Biology (fond.)
10.1002/rcm.7711,closed,False,"Electron ionization mass spectrometric fragmentation and multiple reaction monitoring quantification of trimethylsilyl derivatives of cucurbic acid and its 6,7-stereoisomers",2016-09-16,2016.0,journal-article,False,0951-4198,Rapid Communications in Mass Spectrometry,Wiley,,Chemistry
10.1109/tgrs.2016.2581181,repository,True,Investigation of Azimuthal Variations From X-Band Medium-Grazing-Angle Sea Clutter,2016-10-01,2016.0,journal-article,False,"0196-2892,1558-0644",IEEE Transactions on Geoscience and Remote Sensing,Institute of Electrical and Electronics Engineers (IEEE),HAL,"Earth, Ecology, 
Energy and applied biology"
10.1249/mss.0000000000000981,closed,False,Effects of Footwear and Fatigue on Running Economy and Biomechanics in Trail Runners,2016-10-01,2016.0,journal-article,False,0195-9131,Medicine & Science in Sports & Exercise,Ovid Technologies (Wolters Kluwer Health),,Biology (fond.)
10.1088/1751-8113/49/41/415201,repository,True,On a quantum phase transition in a steady state out of equilibrium,2016-09-19,2016.0,journal-article,False,"1751-8113,1751-8121",Journal of Physics A: Mathematical and Theoretical,IOP Publishing,arxiv.org,"Physical sciences, Astronomy"
10.1016/j.patrec.2016.04.008,closed,False,Purchase behavior analysis through gaze and gesture observation,2016-10-01,2016.0,journal-article,False,0167-8655,Pattern Recognition Letters,Elsevier BV,,Biology (fond.)
10.1007/s10701-016-0032-9,repository,True,An Argument Against the Realistic Interpretation of the Wave Function,2016-07-05,2016.0,journal-article,False,"0015-9018,1572-9516",Foundations of Physics,Springer Science and Business Media LLC,arxiv.org;philsci-archive.pitt.edu,"Physical sciences, Astronomy"
10.1016/j.aop.2016.07.033,repository,True,Eisenhart lifts and symmetries of time-dependent systems,2016-10-01,2016.0,journal-article,False,0003-4916,Annals of Physics,Elsevier BV,arxiv.org,"Physical sciences, Astronomy"
10.1209/0295-5075/116/27005,repository,True,Probing Majorana and Andreev bound states with waiting times,2016-10-01,2016.0,journal-article,False,"0295-5075,1286-4854",EPL (Europhysics Letters),IOP Publishing,HAL;arxiv.org,"Physical sciences, Astronomy"
10.1098/rsos.160202,publisher;repository,True,Body reserves mediate trade-offs between life-history traits: new insights from small pelagic fish reproduction,2016-10-01,2016.0,journal-article,True,2054-5703,Royal Society Open Science,The Royal Society,archimer.ifremer.fr;dugi-doc.udg.edu;europepmc.org;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1016/j.coastaleng.2016.06.003,closed,False,Extended mild-slope equation for surface waves interacting with a vertically sheared current,2016-10-01,2016.0,journal-article,False,0378-3839,Coastal Engineering,Elsevier BV,,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.jmarsys.2016.03.013,repository,True,High frequency mesozooplankton monitoring: Can imaging systems and automated sample analysis help us describe and interpret changes in zooplankton community composition and size structure — An example from a coastal site,2016-10-01,2016.0,journal-article,False,0924-7963,Journal of Marine Systems,Elsevier BV,HAL;archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1103/physrevb.94.115311,repository,True,Decoherence and relaxation of a single electron in a one-dimensional conductor,2016-09-27,2016.0,journal-article,False,"2469-9950,2469-9969",Physical Review B,American Physical Society (APS),arxiv.org,"Physical sciences, Astronomy"
10.1063/1.4963132,closed,False,Formation of Ni3InGaAs phase in Ni/InGaAs contact at low temperature,2016-09-26,2016.0,journal-article,False,"0003-6951,1077-3118",Applied Physics Letters,AIP Publishing,,"Physical sciences, Astronomy"
10.1088/1751-8113/49/38/385401,repository,True,Polchinski’s exact renormalisation group for tensorial theories: Gaußian universality and power counting,2016-08-26,2016.0,journal-article,False,"1751-8113,1751-8121",Journal of Physics A: Mathematical and Theoretical,IOP Publishing,arxiv.org,"Physical sciences, Astronomy"
10.5194/bg-13-5205-2016,publisher;repository,True,Phytoplankton community structure in the VAHINE mesocosm experiment,2016-09-20,2016.0,journal-article,True,1726-4189,Biogeosciences,Copernicus GmbH,HAL;pdfs.semanticscholar.org,Biology (fond.)
10.1113/jp272283,publisher;repository,True,Group III/IV muscle afferents limit the intramuscular metabolic perturbation during whole body exercise in humans,2016-07-08,2016.0,journal-article,False,0022-3751,The Journal of Physiology,Wiley,www.ncbi.nlm.nih.gov,Biology (fond.)
10.1016/j.jcp.2016.05.047,repository,True,Variational integrators for reduced magnetohydrodynamics,2016-09-01,2016.0,journal-article,False,0021-9991,Journal of Computational Physics,Elsevier BV,HAL;arxiv.org,"Physical sciences, Astronomy"
10.5194/bg-13-5103-2016,publisher;repository,True,Biogeochemical fluxes and fate of diazotroph-derived nitrogen in the food web after a phosphate enrichment: modeling of the VAHINE mesocosms experiment,2016-09-14,2016.0,journal-article,True,1726-4189,Biogeosciences,Copernicus GmbH,HAL;pdfs.semanticscholar.org,Biology (fond.)
10.1016/j.physletb.2016.06.051,publisher;repository,True,Constraints on the neutrino emission from the Galactic Ridge with the ANTARES telescope,2016-09-01,2016.0,journal-article,True,0370-2693,Physics Letters B,Elsevier BV,arxiv.org;iris.uniroma1.it;opus.bibliothek.uni-wuerzburg.de;pure.uva.nl;riunet.upv.es;upcommons.upc.edu;www.vliz.be,"Physical sciences, Astronomy"
10.5194/bg-13-4927-2016,publisher;repository,True,Depth-resolved particle-associated microbial respiration in the northeast Atlantic,2016-09-07,2016.0,journal-article,True,1726-4189,Biogeosciences,Copernicus GmbH,HAL;epic.awi.de;eprints.soton.ac.uk;nora.nerc.ac.uk,"Earth, Ecology, 
Energy and applied biology"
10.1002/2016jc011818,repository,True,Budget of organic carbon in the North-Western Mediterranean open sea over the period 2004-2008 using 3-D coupled physical-biogeochemical modeling,2016-09-01,2016.0,journal-article,False,2169-9275,Journal of Geophysical Research: Oceans,American Geophysical Union (AGU),www.vliz.be,"Earth, Ecology, 
Energy and applied biology"
10.1134/s0040577916090099,repository,True,Hamiltonian reduced fluid model for plasmas with temperature and heat flux anisotropies,2016-09-01,2016.0,journal-article,False,"0040-5779,1573-9333",Theoretical and Mathematical Physics,Pleiades Publishing Ltd,HAL,"Physical sciences, Astronomy"
10.3934/mcrf.2016009,publisher;repository,True,Determining the waveguide conductivity in a hyperbolic equation from a single measurement on the lateral boundary,2016-08-01,2016.0,journal-article,False,2156-8472,Mathematical Control and Related Fields,American Institute of Mathematical Sciences (AIMS),HAL;arxiv.org,Mathematics
10.1016/j.wpi.2016.05.002,closed,False,Example of open-source OPS (Open Patent Services) for patent education and information using the computational tool Patent2Net,2016-09-01,2016.0,journal-article,False,0172-2190,World Patent Information,Elsevier BV,,"Computer and 
 information sciences"
10.1021/acs.cgd.6b00844,repository,True,An Atomistic View of the Incipient Growth of Zinc Oxide Nanolayers,2016-08-23,2016.0,journal-article,False,"1528-7483,1528-7505",Crystal Growth & Design,American Chemical Society (ACS),www.osti.gov,"Physical sciences, Astronomy"
10.1086/687378,repository,True,"Age and Heat Stress as Determinants of Telomere Length in a Long-Lived Fish, the Siberian Sturgeon",2016-09-01,2016.0,journal-article,False,"1522-2152,1537-5293",Physiological and Biochemical Zoology,University of Chicago Press,eprints.gla.ac.uk,Biology (fond.)
10.1007/s00023-016-0467-8,publisher;repository,True,Energy-Time Uncertainty Principle and Lower Bounds on Sojourn Time,2016-03-07,2016.0,journal-article,False,"1424-0637,1424-0661",Annales Henri Poincaré,Springer Science and Business Media LLC,arxiv.org,"Physical sciences, Astronomy"
10.1016/j.crma.2016.06.003,publisher;repository,True,Dynamique moléculaire de la prédissociation,2016-09-01,2016.0,journal-article,False,1631-073X,Comptes Rendus Mathematique,Elsevier BV,HAL,"Physical sciences, Astronomy"
10.1109/lgrs.2016.2583198,repository,True,Analysis of Dual-Frequency Ocean Backscatter Measurements at Ku- and Ka-Bands Using Near-Nadir Incidence GPM Radar Data,2016-09-01,2016.0,journal-article,False,"1545-598X,1558-0571",IEEE Geoscience and Remote Sensing Letters,Institute of Electrical and Electronics Engineers (IEEE),archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.ipm.2016.03.002,repository,True,"INEX Tweet Contextualization task: Evaluation, results and lesson learned",2016-09-01,2016.0,journal-article,False,0306-4573,Information Processing & Management,Elsevier BV,HAL;zenodo.org,"Computer and 
 information sciences"
10.1016/j.patrec.2016.06.003,repository,True,Topological Attribute Patterns for texture recognition,2016-09-01,2016.0,journal-article,False,0167-8655,Pattern Recognition Letters,Elsevier BV,HAL,"Computer and 
 information sciences"
10.1109/tac.2015.2496500,closed,False,On the Equivalence of Observation Structures for Petri Net Generators,2016-09-01,2016.0,journal-article,False,"0018-9286,1558-2523",IEEE Transactions on Automatic Control,Institute of Electrical and Electronics Engineers (IEEE),,"Computer and 
 information sciences"
10.1088/1475-7516/2016/09/027,repository,True,Constraints on modified gravity from Planck 2015: when the health of your theory makes the difference,2016-09-19,2016.0,journal-article,False,1475-7516,Journal of Cosmology and Astroparticle Physics,IOP Publishing,HAL;arxiv.org,"Physical sciences, Astronomy"
10.1038/srep32325,publisher;repository,True,A high-resolution time-depth view of dimethylsulphide cycling in the surface sea,2016-08-31,2016.0,journal-article,True,2045-2322,Scientific Reports,Springer Science and Business Media LLC,HAL;digital.csic.es;escholarship.org;europepmc.org;moeseprints.incois.gov.in;ri.conicet.gov.ar;www.ncbi.nlm.nih.gov,Biology (fond.)
10.1007/jhep08(2016)149,publisher;repository,True,Analytic continuation of the rotating black hole state counting,2016-08-01,2016.0,journal-article,True,1029-8479,Journal of High Energy Physics,Springer Science and Business Media LLC,arxiv.org,"Physical sciences, Astronomy"
10.1103/physreve.94.022316,repository,True,Aging and percolation dynamics in a Non-Poissonian temporal network model,2016-08-24,2016.0,journal-article,False,"2470-0045,2470-0053",Physical Review E,American Physical Society (APS),arxiv.org;upcommons.upc.edu,"Physical sciences, Astronomy"
